,author,authorChannelUrl,text,likeCount,publishedAt,offensive/non offensive
0,Zineb Zino,http://www.youtube.com/channel/UCYHReasEWWwVNKaz3emUi0A,عندها الحق ماتحشموش,2,2020-10-21T13:54:27Z,p
1,Lameche Mounir,http://www.youtube.com/channel/UCSToGVkIecPSgiaHpoYsF9g,جبهة الصطل,0,2020-10-21T13:32:30Z,p
2,أوباح اوباح,http://www.youtube.com/channel/UCoM7dIHzxqR_AKKTgBUX6GA,وقيلة معندكش تواليت داركم يا وحدل رخيسة هذه فيات هي من دمرت مجتمع,0,2020-10-21T13:31:30Z,p
3,ايوب بوراس,http://www.youtube.com/channel/UCkxmLCjs9JJJqHtPdR9KFPQ,باينة فيك بلي مخلوعة في روحم وعاجبتك رويحتك,0,2020-10-21T13:27:46Z,p
4,Merieme Djaffar,http://www.youtube.com/channel/UCjU73gbRn25M_qkL2CqV3Qw,روحي شوفي روحک قبل خلیتي رغیس یبوسک فالبیرو کون اوموا کي قریتي السیناریو کون قلتیلهم انا مرا مسلمة کیما راکي تقولي نتي منقدرش نجوز لقطة کیما هاذي مشي تجي تهیني الشعب صاح لازم یغضو البصر تاعهم ربي امرهم مي المرا تاني امرها ربي بالحجاب تستر روحها وما دیرش کیلو تاع مکیاج نتي اصلا راکي تتزیني لرجال وحق ربي ما مرا نتي ربي یهدیک شوفي روحک قبل ماتشوفي الناس رخصتي روحک الناس اع هدرو علیک نتاقدوک من کل جیه نتي تحبي کي یهدرو علیک بلافاصون لی هدرتي بیها علی اللبسة تاعک والماکیاج تاعک باینة ماتقبلیش لوکان نصحتي وهدرتي غیر بالعقل وبلا العبارات هاذوک تاع الریو حیوانات معلیش مي نتي تقولي منعرف معامن راکي تهدري ربي یهدیک ویهدینا,0,2020-10-21T13:27:16Z,p
5,Madjid Bousbaa,http://www.youtube.com/channel/UCAsxQ2W2D-G-Jn-zjli-dzw,قالك قط جيعان طاح في شحمة فايحة ونتي هي الشحمة لفايحة ما القط طالب ياكل برك والحديث قياس تافهة,1,2020-10-21T13:13:17Z,p
6,Anouar Menaceur,http://www.youtube.com/channel/UCqfFQLmV6ZwxaYAJD7dG_wA,قاعها,0,2020-10-21T13:12:51Z,p
7,Mouhamed Aymen,http://www.youtube.com/channel/UCUAs-sjUpeHBK1ae6Q0RXFw,خصها سقلة,0,2020-10-21T13:12:46Z,p
8,Kadi Ysref,http://www.youtube.com/channel/UCo2zO5YTOU-uMwbytavzKAA,روحي شوفي روحك في مرايا قبل,0,2020-10-21T13:12:36Z,p
9,ام انس عبد الرازق,http://www.youtube.com/channel/UCMFlvPWOTb-c1QD6CmF-knA,ستري روحك وهدري يا معتوهة وين راه الحجاب الا راكي مسلمة حقا,0,2020-10-21T12:57:17Z,p
10,Chafika Guennaz,http://www.youtube.com/channel/UCM6g36sKA-wJV5I5fqWMRKw,مونيا فلك واحد روحي دوري حجاب وستحي على عرضك يا وحدل,0,2020-10-21T12:51:53Z,p
11,Hamza Facih,http://www.youtube.com/channel/UC3ga4lhRkOiFuiLs5eb8ZGg,نجي ليك ندز هولك,0,2020-10-21T12:42:41Z,p
12,REDHOUANE REDHOUANE,http://www.youtube.com/channel/UC_ePq-rIvVKGzL_MpfNgueQ,لقد شتمت كل الرجال انا اقول لك بين هولاء الرجال الذين شتمتينهم رجال يصهرون على امنك امن الجزاير لولاهم يا لالة مونيا لاصبحت قطعة لحم يسيل عليها اللعاب كما تقولين بين الحيوانات في الجبال اهدري ذرك على روحك راكي في لتساع في وقت الارهاب هربتوا قاع الى جدتكم فرنسا الله يلعن الراسة انتاعكم,0,2020-10-21T12:38:45Z,p
13,moussa guettou,http://www.youtube.com/channel/UClWdkSrswL-zp_kAeEQ5ARA,طومبلتي طومبيل اميرة ماترياليست,0,2020-10-21T12:30:32Z,p
14,Aziz CHTV,http://www.youtube.com/channel/UCVduQAhtKvtfsuou-GUeFbA,شوفي مونيا نتي راكي تغيري من هاديك الطفلة على خاطرش هي شابة عليك زينة عليك بسح عندك دليل بلي كان يسيل الريوغ بالاك راجلك ولا صاحبك كي يشوف واحدة يسيلو ريوغ يملا ريحي عاقلة او بلعي فمك على خاطرش نتي مراكيش فنانة,0,2020-10-21T12:26:26Z,p
15,Sônõn Noûša,http://www.youtube.com/channel/UC6zt7XdiE4tYtfmz2DqbN6w,لابس نوغمالمو كاريثا فرنسيا,0,2020-10-21T12:10:50Z,p
16,akram chi chitoo,http://www.youtube.com/channel/UCYiD3pw0AcJ5IPc2HA1sXYQ,خر ياو فاقو,0,2020-10-21T12:09:53Z,p
17,Bachir,http://www.youtube.com/channel/UClFpjc4j66WyxuSbWOXI72A,شوف داك لون ديك الهدر تفو عليها كمار,1,2020-10-21T12:03:58Z,p
18,sinyorita SS,http://www.youtube.com/channel/UC2HEz2rhwcAZ47aSf4NbCEA,راهو خرج فرعون,0,2020-10-21T11:56:56Z,p
19,BLIDA BLIDA,http://www.youtube.com/channel/UCHty4skY7vM5uhHcKuWkIoQ,معندکش رجال نتی,0,2020-10-21T11:55:28Z,p
20,ماريا ماريا,http://www.youtube.com/channel/UCQsQcsJKZ9joPvPPQ-KqKfQ,ياختي كان مريضة روحي دواي والله تقضيهم وداوك بلاش بلا متخلاصي والوو,0,2020-10-21T11:49:15Z,p
21,Hanene Tioura,http://www.youtube.com/channel/UC3NSJ3so4Uo-Q86f99a376Q,دوكا انتوما درتو قضية على هاد الحكاية عندها الحق شعب جاهل مريض يحب عير الشر لخوه شعب يا لاطيف الله يبعني عليك دنيا واخرة مع اني اناا منحبهاش شخصيا لكن كلامها صحيح علابيها وجعكم,0,2020-10-21T11:46:38Z,p
22,naili naili,http://www.youtube.com/channel/UCYdb-tppaPjqjwH2OKZo2YQ,هزي كابتك واخرجي من دزاير روحي للطوغو تلقاي الرجال لي يليقو بيك,0,2020-10-21T11:44:26Z,p
23,هيبة الرحمان,http://www.youtube.com/channel/UCkdbgpyg6_p-khO8LQv_T3w,اودي روحي تحيا الجزايريين الجزايريات,0,2020-10-21T11:41:16Z,p
24,FATEH DZ,http://www.youtube.com/channel/UCr9lAlK4HkvDaujnBWEp9NQ,حسب ما سمعت هذا الفيديو فانها قالت الحقيقة التي لم تعجب البعض لكن للعلم هذه قضية للالهاء مصنوعة في مخابرات عبلة فيقو يا بشر انا اساندها فيما قالت لانه شعب رخيس شمايت حشا البعض,0,2020-10-21T11:37:06Z,p
25,Abdelbasset Korichi,http://www.youtube.com/channel/UC0WLbraELT9JRvSJ7uxxkMQ,الفيس فيكمم انتم اللي تريو في رواحكم روحي الله يجيبلك سلطان,0,2020-10-21T11:36:10Z,p
26,Terbeche Amine,http://www.youtube.com/channel/UCMk31J8VoCRmOoLv7QO74DA,هذا مسخوط,0,2020-10-21T11:32:13Z,p
27,flour,http://www.youtube.com/channel/UCN6aUkSM2Fv-KIp5TirzQYA,والله غير انت هي لي متحشميش تهدرهك,0,2020-10-21T10:39:25Z,p
28,Nesrine Raouf,http://www.youtube.com/channel/UCq7zm1OM1KvGa_MuFjNtMWg,عيدارية,0,2020-10-21T10:24:50Z,p
29,Minou Amine,http://www.youtube.com/channel/UCK8lMfKE_30yy8u3pP_JATg,مزال مفهمتي علاه لازم تغطي قطعة اللحم وهذا لي تتزوجي بيه حيوان تان معلابالكش كيفاه يخزر كان عليها ان تقرا على نظرة الرجل بالنسبة للمراة التي لا تستر نفسها في الشارع وتتمايل تتملق في كلام تلبس الكعب العالي انا شخصيا ندعيلهم بالهداية لانهم دايرين فتن فسدو رجال على نساهم يخرج برا يشوفو الشعر المسرح والمصبوغ اللباس المكسوف بانواعه يدخلو للدار يلقاو منهم بجبة مطاشية بجافيل شعر مكشرد لان ولادها مخلاولهاش وقت نهار كامل تجري متلحقش وهنا تكون الصدمة حتى لو لبست مرة على مرة متقدرش تكون بنفس مستوى هذيك الموخدة لي برى لذلك ننصح شاباتنا بالحجاب والعفة وشبابنا بغض البصر والعفة,0,2020-10-21T10:11:05Z,p
30,Ranya Hami,http://www.youtube.com/channel/UCPcu9aSR_GDmfFxrSACQPrA,قولي حسبتك راكي تهدري بترامك تفو روحي شوفي روحك منبعد هدري على الزعامة ولاد الجزاير يا وحد البايرة,0,2020-10-21T09:33:13Z,p
31,Boussena Nora,http://www.youtube.com/channel/UC0euoc85jwKbUTFQtYHEzpA,انت مرضة كاش ما صرالك في حياتك اعلا هدا تهدري هكدا علمن تتكلمي على شباب الجزاير هدةك سيادك يا مريض روحي عند بسكولةك داوي اش كاين الحزاير واش لامة,0,2020-10-21T09:15:24Z,p
32,guedda lazher,http://www.youtube.com/channel/UCxJOvaFMP8EwsOZkKC_smZg,رخيصا وش راح دير,0,2020-10-21T08:57:54Z,p
33,Omm zaki Mouhamed,http://www.youtube.com/channel/UCyyPi-PIgBw26GiZio-CXeQ,روحي يصفرلك الوجه,0,2020-10-21T08:50:43Z,p
34,kasm Henni,http://www.youtube.com/channel/UCOAjTESIN0imHvzfYAY7H0A,روحي ديري حجاب وخمار,0,2020-10-21T08:04:06Z,p
35,MR13 Mj Ryan,http://www.youtube.com/channel/UC-qM3XrqtHNbt18XEmea9Og,يا طاطة يا طاطة الخلاطة الشباب لي راكي تسبيهم تستافزيهم منهم لي راهم يخدم في الجيش منهم لي راو يخدملك تاكسي لي راكي تفوخي بيه منهم لي راو يعس في الحدود تاع بلادنا ليل ونهار ومنهم لي راو شرفوا بينا في الكاس تاع افريقيا ومنهم لي راو يخدم الارض ومنهم لي يبتاكر هذو جزايريين لي راكي تتمسخري بيهم نهار كي ينحيولك الماكياج تباني كي الراجل لي يتطايش برا مسكين نتيا رخيسة علابيها راكي تشوفي فالشباب رخاس راني فاهم لازم نوقفوها عند حدها راهي تستافز بينا بزاف المخلوقة هاذي و السلام عليكم رحمة الله تعالى براكاته و تحيا ولاد بلادي وبنات بلادي,1,2020-10-21T07:43:59Z,p
36,Mega You,http://www.youtube.com/channel/UCnfdj_KeK3CxGrUEQ3CdtkA,تفوه بهدلتن,1,2020-10-21T07:05:37Z,p
37,Ours Polaire,http://www.youtube.com/channel/UCNxbOuxTEUp7eADLo7ajPpQ,واش راه يقول جعفر ياينه صاحبها الجزايري خطب ولا تزوج راهي مقهوره وخلطت كامل سيادك الجزايريين يا الجايحه تفو عليك تعيفي,0,2020-10-21T06:41:22Z,p
38,خالد العاقل,http://www.youtube.com/channel/UCPEFnbSuD6QI5-Dk6CnfwZw,مهبولا جديده,0,2020-10-21T05:06:05Z,p
39,mascara 29,http://www.youtube.com/channel/UCqoUDoX_sy54Ebc19wv2o_g,خرية ضاربة فيها الشمس,0,2020-10-21T03:47:32Z,p
40,bèutŷ gïrl,http://www.youtube.com/channel/UCJhhADG8dH00-jh1o_HKSzA,مونية ربي يشافيك ان شاء الله روحي اجري على روحك وزيد دايرة صليب في عنقك نتيا جزايرية نتيا وتهدري على متحجبات شوفي روحك فلمرايا ومبعد حلي فمك على متحجبات حمد الله يا ربي زعما نتيا تصلي شكيت قبلة متعرفيهاش منين جاية وجاية تهدري على رجال لي منهم باباك وخوك وراجلك ايلا لقيتي لي يدي وحدة كيفك وبالاك رايح يكون وليدك ربي يهديك راكي كبيرة طفلة صغيرة تحشم على قدرها ماشي كي حالتك تشفي والله لابوبال,4,2020-10-21T02:39:15Z,p
41,KHIER AMEL,http://www.youtube.com/channel/UCLux_LxF0TlaG4oaXQgVSxQ,اسمعي يا فيحا انت اتصبي سيداك انت اتسبي بابا وا خويا وا خلي وا عمي وا وليد حومتي الرجال الجزايريين رجال يا الفيحا هدوك اسيداك يا واجه الشر انا ما شقتش الرجال كيما راكي اتقولي اشفو في المراة روحي اهدري على هدوك النساء لي راهم لبسين لباس مخل للحياء كيما انت واحد ما يشوف فيكوم والله العضيم الرجال الجزايريون ما تلقاي كيما هما افحولا وا عندهم النف وا رجال يا فيحا انت جمعتي الرجال كمل باباك راحو امعهم عنداك عقدة نفسية من الرجال واللغة الجزايرية روحي شوفي طبيب نفساني,0,2020-10-21T01:27:33Z,p
42,Draifi Djamel,http://www.youtube.com/channel/UCmxiaWEBYGF8J5eMjc7LD0Q,يا ناس خممو شويا راكم اطيحو في المستوى كي راكم اترجع لها انا واحد من الناس اقسم با ربي السماوات مانعرفهاش اصلا هاذي خطة تاع الدولة باه التي الشعب راهم داروها ديجا مع نعيمة صوالحي او دوك جاو الهاذي هاذو فوران التاجرب كل مايحبو اتلفو الشعب اجيبو حمار اضحو بيه كي افوتو الانتخابات تطلب السماح او هوما يلحقو للهدف التاعهم او تعاود تسرق الشمس كي لبارح كيليوم نتاسف علي زينها مسكينة معبدلبلهاش وجها ماعندوش فرق كبير بينها او بين الحمار حشا الملايكة التاعها على خاطر لوكان مكاش حلابين الزك في بلادنا او عباد النساء والله ماتلحق تهدر هاذ الكلام للاسف الشديد والسلام,0,2020-10-21T01:21:16Z,p
43,H. Lidya,http://www.youtube.com/channel/UCuJ3zQr7WCpxflCkRlPzWRQ,شو هالخرا يلعن اليوم اللي قريت فيه اعلام من الاخر راح نبدل مهنة بهدلتينا بكلامك الفاحش علابالك كاين المليح الدوني المراة معروفة بعفتها سو شدي فمك الا روحي ديري مهنة جديدة اللي اسمها التكوليف قرفتيلنا حياتنا,0,2020-10-21T01:15:03Z,p
44,أيوب شابي,http://www.youtube.com/channel/UCggdlnb2RipkL5Flcf-NRNA,يا مونية رجال لركي تسبي فيهم هما جابو استقلال الجزاير واضحة فلخر تجي من بعيد تسبيهم روحي نحي كيلو تاع المكياج حن مناش حيوانات رجال تاع صح في وقت الشدة تبان رجال لركي تهدري فيهم جابو كاس افريقيا بنات الجزاير ميهدروش هكذا يعيش على حلو مر,0,2020-10-21T01:14:13Z,p
45,Fateh Djillali,http://www.youtube.com/channel/UCfrv-mrqwMls0mMUCf7N1gQ,ممكن يكون يشوف فيها نظرة تعجب باسكو لابسا بدون هدوم نتوما الي فستدو الشباب يا وسمك نورمالمو تروحي تبيعي شمة نتي طايحتنا بطاطة خشينة بف,0,2020-10-21T00:52:21Z,p
46,Ghaith Baaz,http://www.youtube.com/channel/UCVgB3c0xMiAgHZ-ZgyTUeqA,كون تغسلي وجهك بصابون وطلعي شعرك جبهتك نكتب فيها سورة البقرة ونخلف السطر,0,2020-10-21T00:27:09Z,p
47,Sliman Silaman,http://www.youtube.com/channel/UC-C12HtEP87jT9X9qoFMQNw,هاذي راهي حابة يحرقوها,0,2020-10-21T00:23:53Z,p
48,Csc Ess,http://www.youtube.com/channel/UChEvh27amQNQQ4T7gA4P-bA,روحي تعطي,0,2020-10-20T23:28:27Z,p
49,Boukhanouf Omar,http://www.youtube.com/channel/UCP3beMvrWylhNvXNbOc4xDA,لمرة لجاية متغطيش جبهتك بشعرك اجبهة سلوڨي,0,2020-10-20T23:10:29Z,p
50,chourouk yagoub,http://www.youtube.com/channel/UCH_InwExcZXVJRdDjqrqZmw,مي مريضة هاذي,0,2020-10-20T23:00:40Z,p
51,Bilal soltani,http://www.youtube.com/channel/UCpZWTMOnKOdqpbm6GG7SBkg,مسكينة مخلوعة في روحها,0,2020-10-20T22:58:54Z,p
52,Zino Zino,http://www.youtube.com/channel/UC3sEPEOa-tqtUI3HhDb09rQ,نع دين باباك,0,2020-10-20T22:47:16Z,p
53,Nassim Mama,http://www.youtube.com/channel/UCz0UvwoH5-kfWfRSUWKbCng,يا واحد الفايحة روحي اغسلي فمك الناجس قبل ما تتكلمي على سيادك,0,2020-10-20T22:43:31Z,p
54,Takoi Mebarki,http://www.youtube.com/channel/UCyVY6jpOEy_KEiBYovrx06Q,روحي احكي هادي الهدرة لروحك ماقلنالكش انصحينا,0,2020-10-20T22:28:47Z,p
55,Oum Ninou,http://www.youtube.com/channel/UCrkwwevlVnP-gYOoja1nmeg,فلحقيقة ضحكتيني كي قلتي كنت انا اميرة الغاشي كامل يخزر فينا بلاك خلعتيهوم لخطرش شافو حيوان جديد يدور فدزاير لخطرش الفاشة انتاعك بلماكياج او تخلع خلي بلا ماكياج نقولك تحبلك باش تسبي السبوعة انتع بلادك سيادك الي نتي تعرفي الرجلة النيف انتاعهوم يا وحد الجيعانة روحي ربي روحك امبعد ارواحي انبحي او ريقي علينا,0,2020-10-20T22:11:31Z,p
56,Palim Dz,http://www.youtube.com/channel/UCAMjgoRk8LmwCzP-bBgDAvw,روحي استري روحك ياوحد المسخة لوكان جيتي سترة روحك وحد مايتبلااك نطلب من السلطات الجزاىرية طبق عليها القنانون تسب فينا هادي لمسخة هادي سبت 40 مليون جزاىري,0,2020-10-20T22:07:26Z,p
57,djamblouze morad,http://www.youtube.com/channel/UCaaEU6j3iNnXKvFvW2UUVIA,بلع يا عيشة راجل,0,2020-10-20T22:07:01Z,p
58,Mohamed Az,http://www.youtube.com/channel/UCTjXLywRx2Xn7LzClcm6NPA,الانترنيت رجعت العالم قرية صغيرة ورجعت مونيا خرية كبيرة الله غالب نضحكو علي وجهك يا جغانة بصح يضهرلي رنا نسنا فيديو فيه اوو مايڨود يايما,0,2020-10-20T22:04:01Z,p
59,remix 『DZ』,http://www.youtube.com/channel/UCC-VZgPDrj0tPqnpO-AY5tA,المقدمة تاعك تاع 19,0,2020-10-20T21:52:29Z,p
60,mofi mofi,http://www.youtube.com/channel/UCpb4seO12bv8fqYrnd5xl2g,هكدا ماحشمتي ماخفتي,0,2020-10-20T21:48:44Z,p
61,Actif,http://www.youtube.com/channel/UCLq5k4H9N8qxpKop67sY28w,بصح والله ما تحشمي عندك صحانية الوجه اعطيني طرف من وجهك ندير بيه بندير والله غير عندك فاتشا تخلع الكبار فضلا على الذراري الصغار,0,2020-10-20T21:35:02Z,p
62,Yayou Yayou,http://www.youtube.com/channel/UC4zFX--7E-2GTWZu8VkXA_A,دوكا كامل وليتو دافعو على المستورة جاتكم هادي فاجرة انتوما منافقين كي جي واحدة كما هي باش تفري شغل فاي مكان تسبقو بيها تفرولها شغل تم تم اما اذا كانت متحجبة وبلا مكياج تحقروها بالعين,0,2020-10-20T21:32:17Z,p
63,Je t'aime l'Algérie,http://www.youtube.com/channel/UCtgj9qqAQFWzdGvR1n77-zg,حشا خلق ربي كي دايرة,0,2020-10-20T21:28:42Z,p
64,nadjia boukezzoula,http://www.youtube.com/channel/UCwPDgSn7eG1wNXJBmR7udzA,متحشميش حتى الهدرة متعرفيش تهدريفي فرنسة اقولو دال معناها والو معندك والو اتعلمي تعبري انتيا خصك تربية,0,2020-10-20T21:27:36Z,p
65,roza roza,http://www.youtube.com/channel/UCzOJnP3tw-zQyWRcEiljw1Q,ماعندهاش انوثة سبحان الله,1,2020-10-20T21:27:03Z,p
66,انوثة طاغية,http://www.youtube.com/channel/UCurEdpcwjoKryqa8klgwu4Q,يخي حالة تفو عليك زعما انتي فنانة انتي فنانة تفو عليك,1,2020-10-20T21:26:11Z,p
67,Sarah Mardinian,http://www.youtube.com/channel/UCKXrVoY1b0eTo0YpA5dAEdQ,حشرة,0,2020-10-20T21:25:05Z,p
68,Louay Sabeur,http://www.youtube.com/channel/UCsNXDiVr1jmr-UpoGeNePtA,مرضة هاذي,0,2020-10-20T21:24:05Z,p
69,Lilia Lilia,http://www.youtube.com/channel/UCLQ---at6VvekuSrlrGjudw,نسميها عاق,0,2020-10-20T21:22:54Z,p
70,didin ibra,http://www.youtube.com/channel/UCySY0Fposg9EMsWUUlpyHHw,لاتجعلو من بغولة مشاهير,1,2020-10-20T21:22:41Z,p
71,Lamari Fala,http://www.youtube.com/channel/UC1J8kBhdLZNEOZ4oT--pYFw,وجعتيلي راسي بهلولة,0,2020-10-20T21:15:09Z,p
72,Lotfi Chacha,http://www.youtube.com/channel/UCQdss6BIgz2cjnHYyfeRFYw,تفوه او خسرا فيك,0,2020-10-20T21:15:09Z,p
73,ثقف نفسك,http://www.youtube.com/channel/UCZTmsOr6E7-1d9eHSyJP97A,جمهورية بغلة يونايتد جزاير رجلة,0,2020-10-20T21:10:18Z,p
74,Donia Danbri,http://www.youtube.com/channel/UCcKYFvDepHUlwamPLENI60g,هاذي مريضة نفسيا,0,2020-10-20T21:05:38Z,p
75,Sisi Minoucha,http://www.youtube.com/channel/UCewncmqpSs6IJxuBM7p-1kg,جيعانة وتحلبتي,0,2020-10-20T21:05:37Z,p
76,Ayoub Csc,http://www.youtube.com/channel/UCjVQu6PIdLe7_UeyH1eKWjQ,روحي نحي المكياج لي فيوجهك علابلك اكي تشبهي الفرعون ربي يهدي ماخلق,1,2020-10-20T21:02:00Z,p
