,author,authorChannelUrl,text,likeCount,publishedAt,offensive/non offensive,Algerian Dialect
0,nda nda,http://www.youtube.com/channel/UCQ9IzqkTPyKz1JRdK2RBJtg,والله يا مونيا لي راكي تهدري عليهم هوما لي طلعوك اتبرجي وعري روحك وقولي علاه يشوف معايا انتي لي خلتيه يشوف معاك استري روحك كون يشوف معاك واحد,0,2020-10-21T14:21:38Z,,
1,SELSOULA,http://www.youtube.com/channel/UCfksSGorX_DMCrZrES0ZeWQ,ماعندو مادخلك فينا حنا خاوة بنات دراري,0,2020-10-21T14:12:51Z,,
2,احمد بوقلقولة,http://www.youtube.com/channel/UCMkdl3UbXl0ZjMLwk6ZtXQg,اسما يعني انتي ماشي بنادم,0,2020-10-21T14:07:27Z,,
3,hibat erahmen,http://www.youtube.com/channel/UCp4Lr2iRd9USZtXdBa9W3VQ,3 9 3 9 3كثر فيه الحسد النميمة القذف,0,2020-10-21T14:00:58Z,,
4,zaki Catania,http://www.youtube.com/channel/UCUpIDbOPplowFBpvJZ6x7FQ,متحكلي متخليني طريق معوج لدبوش بلاد لهريب سعاد ميني بوس سلفي بوشبوش ليك صوصيل دير حلا,0,2020-10-21T13:59:50Z,,
5,Zineb Zino,http://www.youtube.com/channel/UCYHReasEWWwVNKaz3emUi0A,عندها الحق ماتحشموش,2,2020-10-21T13:54:27Z,,
6,Mono Zak,http://www.youtube.com/channel/UCsLoZFvRdbF6Tae5iaMkOWw,قولي الا من رحمة ربك اتركو الناس لربي الناس الله يهدينا جميعا,0,2020-10-21T13:49:25Z,,
7,Lakhdar Hossam,http://www.youtube.com/channel/UCYn4dVYvxijnSpRVfo9GCPw,قالت الحق,1,2020-10-21T13:48:44Z,,
8,Tahr Tito,http://www.youtube.com/channel/UCg8yRfQGyYhiZY1t9jl85Gg,محشمتيش لكان يسمع بباك واش راك تهدري اعطيني وجهك معرفش يربيك للاسف,0,2020-10-21T13:46:54Z,,
9,Akram Smith,http://www.youtube.com/channel/UCbj7WSJa1p3xw5CAeWeLizA,قالت الحق بسكو متحبوش كلمة الحق,1,2020-10-21T13:37:35Z,,
10,Lameche Mounir,http://www.youtube.com/channel/UCSToGVkIecPSgiaHpoYsF9g,جبهة الصطل,0,2020-10-21T13:32:30Z,,
11,أوباح اوباح,http://www.youtube.com/channel/UCoM7dIHzxqR_AKKTgBUX6GA,وقيلة معندكش تواليت داركم يا وحدل رخيسة هذه فيات هي من دمرت مجتمع,0,2020-10-21T13:31:30Z,,
12,The Wolf gaming dz,http://www.youtube.com/channel/UCSnVG2-cx5dyJunFt-wHRgQ,الي فتها الزين تزير الجين متكبر الشان علي لي معندوا قيمه يحسب روحوا فلان او هو غير بهيمه,0,2020-10-21T13:30:43Z,,
13,جسد بلا روح,http://www.youtube.com/channel/UCQll2LP_N5_bJfCunAuXILw,تكلمت بالحق علاش معجبكمش ياجزايريين عطاتكم بالحق هذي اخلاقكم ياجزايريين,1,2020-10-21T13:30:29Z,,
14,Nassim Brrabah,http://www.youtube.com/channel/UC6h-ysKGtnAVuNAjdh2johg,استري روحك بحجاب وتواضعي شويا مايبانولكش الرجال هكا يامخلوعة نهار كامل ونتيا ديري في تبهديل عيشي ذوكا مرتاحة,0,2020-10-21T13:30:21Z,,
15,ايوب بوراس,http://www.youtube.com/channel/UCkxmLCjs9JJJqHtPdR9KFPQ,باينة فيك بلي مخلوعة في روحم وعاجبتك رويحتك,0,2020-10-21T13:27:46Z,,
