,bad_word
0,بف
1,صليب
2,تفو
3,اتربي
4,كلاب
5,رخيسة
6,رخيس
7,ممسوخة
8,طوبا
9,فاسدة
10,متحشميش
11,خامجة
12,جبهتك
13,بلعي
14,متخلفة
15,خر
16,خرية
17,مرخس
18,قاعك
19,فاسقة
20,حاشاك
21,حالوفة
22,كسبي
23,ياشيات
24,حيوان
25,خانزة
26,خري
27,حمقاء
28,بيتش
29,تفوه
30,اعق
31,ترخفي
32,تكذبي
33,فايحة
34,روحي
35,سوسيالة
36,جايحة
37,كذابة
38,خشتفو
39,لابوبال
40,خرا
41,كذبة
42,الخنز
43,فاقو
44,تنفخيهم
45,السناطح
46,تعيي
47,ميكروب
48,شمطاء
49,خماج
50,ماتحشميش
51,تفوو
52,ختفو
53,قودي
54,الشعر
55,تفوا
56,ترخف
57,باعو
58,الشيتة
59,شيتة
60,مبعرة
61,تبهديلي
62,معتوهة
63,رخيسا
64,نكم
65,شادي
66,فايحا
67,فاجرة
68,يشويدي
69,سوكتي اسوكلي
70,وجه مقلى
71,صليب صليب
72,ترقصي مليح
73,قبيحة شيطانة
74,عقرب
75,دايرة مسيحية
76,الله يلعن
77,واش دخلك
78,كيلو ماكياج
79,وجه الميزيرية
80,وجه الشر
81,والله ماتحشمي
82,سيري يالحولة
83,مونيا حمر
84,ماشي مربية
85,ياخي جايحة
86,ضعف شخصية
87,ياخي مزعوقة
88,مكبر جبهتك
89,دراهم يماك
90,تفوه عليك
91,تباني متحولة
92,انت خرية
93,خرية اتت
94,جرانا زرزومية
95,خماج
96,وجه البخس
97,رنكي
98,الله يدلك
99,خلاصت حكايتك
100,شحال تكذبي
101,كذابة
102,امنتوها كذابة
103,بلاد القاف
104,تبقاي رخيسة
105,نعناعة التافهة
106,مستوى 00
107,تستهلي كتر
108,تعيي مكروهة
109,الى المزبلة
110,ريوڨ ريوڨ
111,الخوف يهدر
112,ختفو عليك
113,كذابة ثاني
114,كلي خرى
115,روحي ت
116,وجه نمي
117,روح تعطيه
118,شحال متعجبينيش
119,شحال متعجبينيس
120,روحي تع
121,تفو عليكم
122,خامجة
123,فيحا خمجا
124,كبير وتكذب
125,قيو
126,هاني نريڨ
127,كبيرة وجايحة
128,تفو عليك
129,جبهتك صافا
130,الله يذلك
131,ماشي مربيا
132,روحي ادوري
133,نتي خرا
134,مزلك تكذبي
135,كذابة وبلعاطة
136,نعناعة مكبوتا
137,وجها مطلص
138,تفوه رخيسة
139,تكذبي
140,تکذبي
141,ياو فاقو
142,ياو قيو
143,باه يترباو
144,عيب عليك
145,وجه صحيح
146,وقحة ساقطة
147,دايرة كي
148,نحتشون يماك
149,سوتك الخامجة
150,يعطيهالك نشاله
151,خامجة وفرات
152,باختصار رخيصة
153,نقصة تريية
154,شبهة السطل
155,جهناما تكلك
156,نعراص تاعك
157,يا سوسيال
158,انتي 0
159,ياوجه كاويتشو
160,علاه تكذب
161,سوق لخماج
162,ترباي
163,واش تحلبتي
164,ياخي طالوشة
165,انتي شيطانا
166,انعدين باباك
167,لجبري لتحلاب
168,تستاهلي كلبتي
169,وجهك كي
170,افضحي النقوشه
171,متكذبيش يالكذابة
172,المغتصب خصو الاعدام
173,انتي ماشي مسلمة
174,روحي انصحي روحك
175,كافيا تاع الصح
176,غول مشي مربيا
177,وجهك صحيح تهدري
178,وعذاب القبر نسيتيه
179,نتيا مرة نتي
180,ونتي فرحانة بروحك
181,شكون لي رخيسا
182,مريضة نفسيا مسكينة
183,لقصاص نطبقو عليك
184,ترباي نتيا برك
185,ربي يهديك ياموسطاشة
186,ادي جبهتك وحكايتك
187,نتي واش دخلك
188,لازم توزني كلامك
189,بالعي فمك
190,جبهة كي سرالها
191,نحملهاش هاذ المخلوقة
192,بلعي فمك وحشمي
193,امشي اتحجبي وترباي
194,فمك جبهتك قدقد
195,قبح الله وجهك
196,وحد منهم نتيا
197,بهدلتينا يا طلابة
198,نت وحادة مهبول
199,مانسحقوش لي يربينا
200,نتي هيا امريدا
201,شكون هاد جرانة
202,تجمعي وماكيش حاشمة
203,ترخف انت وهي
204,انتي انسانة مكروها
205,اهدري بالعربية يالبدوية
206,عندها جبهة التحرير
207,وتزيد تكذب
208,من هذا البوكمون
209,بوجبهة مكاموفليا بالشعر
210,تكذبي وبزاف تاني
211,جبهتك والكل يضحك
212,تروحي ماشي خير
213,اعقاقي طلعي القلب
214,شكون الطحانين لعرضوها
215,روحي تخري بعيد
216,في سلة المهملات
217,تفوه وجه الشر
218,الجزاير مرحاض فرنسا
219,قيو الزلط واعر
220,الله لاتربحك نشالله
221,بركاي بلاكدب اف
222,روحي تلعبي بعيد
223,ادي حكايتك بعيد
224,خريه مهما بررتي
225,قييو راهم فاقو
226,امشي تخراي بعيد
227,مزالك عايشة الجبهة
228,الزبلة درتولها الشان
229,نحي اعلينا لخمج
230,بودماغ شوشا تاعك
231,وتزوجها مسكينة بارت
232,ياو فاقو نعناعة
233,يخي خرية يخي
234,اضربو يعرف مضربو
235,اتفه مخلوقات الجزاير
236,الجبهة تاعك ختيتو
237,كاين المرخس بزاف
238,لا نحتاج امثالكي
239,متحشميش وجهك صحيح
240,طز فى وجهك
241,راهم فاقو طز
242,فاقو احكيها لبيبيط
243,كذابة على الشعب
244,حكام العسكر الخبيث
245,سو تاع امك
246,يحق راص تاعك
247,يحبو نيكو معليش
248,اعطيلهم ونحيلهم الكبت
249,برتي برابي نشاله
250,حشا خلق ربي
251,ياودي انت هيشة
252,يا خي مهرجهة
253,خامجة خماج تفواا
254,تفو خماج وشكرا
255,نتيا نسيتي روحك
256,نحكمها نفعل فيها
257,حلبوها ولات تكبر
258,20 دورو مصدي
259,انت حاشاك والسلام
260,قادري روحك يالالا
261,الله لا تربحك
262,عروس الزيڨوات
263,انسانة مهيش متربية
264,القصاص يطبق عليك
265,دير كلو مكيج
266,الجزايري نقش كبير
