,author,authorChannelUrl,text,likeCount,publishedAt,offensive/non offensive
0,وردة الرمال,http://www.youtube.com/channel/UCO5GjLfRGmJNi-fbBHt--Xw,ماعليش يامات وتنساوها بصح مونيا قرعتيها ما تعرفيش تهدري الثقافة زيرو ما فهمتش قناة الشروق علاش خدماتك نتي واميرة الي حياتها الشخصية في اليوتيوب دييري بزاف المامياج حتى وجهك ما يبانش بالاك نتي وما تعرفيش روحك في المراية نقصي هاذاك المامياج اللبنانيات وما راهمش كيما نتي وواش دخلك في الراجل الي يخزر في النسا,0,2020-10-18T15:52:59Z,p
1,Rgjgf Dgbhjk,http://www.youtube.com/channel/UCdyillhBXFFUxi3mV27bvjw,نستعرف بها قالت الحقيقة نعم عندنا شباب حلاب,0,2020-10-18T14:56:00Z,p
2,Selsabil Zed,http://www.youtube.com/channel/UCCMPFKdH0Of6b5Gg7J9pL8g,ياك زعما نتي تعرفي دين وربي روحك مراكيش ساترتها لي يشوفك يسمي منك والله ونتي راجل في داركم ملقيتيهش باه يحكم فيك وجاية تهدري وتعمي ثاني هاديك نتي لي يشوفو فيك طرف لحم ومحاسبة روحك حاجة وممثلة وشمن تمثيل وفن هذا راه عفن وكي يشوفوك ناس هكذاك برا عريانة والله ربي غير يسمي منك يجيب بيك حسنات رجال لي تهدري عليهم كون لقيتيهم في داركم متهدريش سبحان الله وجهك وش صحيح قاتلو ريووق بسكو نتي مخلوعة من روحك وناس تالمو يشوف في دراهم غير سترة كي يشوف عيباد برا كيفك جيه بيزار يالفاهمة,0,2020-10-18T14:20:01Z,p
3,FAT IMA,http://www.youtube.com/channel/UCThSvZ_Kqg2AF4nADQxj77A,شوفي كيدايرة ڨاع مشي شابة مشي مربية,0,2020-10-18T13:03:46Z,p
4,Jeusef Dz,http://www.youtube.com/channel/UCaLOqu4x4gtSzOO9fVQfwtA,انا والله اول خطرة نسمع باسم هذ الشخصية وعلى واش قالت هي كون جات متربية تحشم متهدرش هاك ولي متربي متربي راجل ولا مرا المراة ما تفتن الراجل والراجل ما يدناش للمرا,0,2020-10-18T13:02:44Z,p
5,مريم البتول,http://www.youtube.com/channel/UCeH1ATAk-Hxt0Ui3J2qj-Sg,23 انا يا اختي ماندافع لا على الرجال لا على النساء انا نهضر الحق الجيل هذا النساء عريانة الرجال ماغاضاش بصرها مبعد يبداو العلاقات الخ مبعد تولي المشاكل يا اغتصاب قتل كيما حكاية شيماء يا امهات عازبات تولي فالشرع نقملي الطفل هو يقول ماش ولدي الخ الحل يا اختي كل واحد يرجع لدينو كل واحد يبدا بروحو يڨد روحو قبل ما ينتقد الطرف الاخر يعني انتي استري روحك واحد مايتبلاك اللي تعري روحها تحط روحها في علاقات محرمة كان تبلاوها ربي يسهل عليها اما كيما تحكي هادي مونيا هادي تاع عاجبتها الطفلة تمشي عريانة تسب فالراجل لي يشوف معاها هادي ماكانش منها,1,2020-10-20T17:25:09Z,p
6,hanni milano,http://www.youtube.com/channel/UCDYNnHYfelnUxOU-atd3hDg,ماتخافش من البحر كي يتهول خافى من كافي كي يتبدل تاريخك نعرفوه,0,2020-10-18T11:17:38Z,p
7,فارس كيمو,http://www.youtube.com/channel/UC6VmC4ZwyjVfSYqLgw7UKlQ,الحمد الله متربي كنت باغي نسبك مي نخليهلك تحرق انت فالثلاثين من عمرك ومزاا عقل جايح ومتحشمي عيب عليك كان جيت مراة ركي في دارك وتربي في ولادك قاعدة تعسي فالناس وتهدري بلا قياس مكنتش حاب نعلق مي قلقني كلامك,0,2020-10-18T10:54:49Z,p
8,Queen bee,http://www.youtube.com/channel/UCRpf-jHDe0-9jf1lTVUMprg,صح واش قالت الرجال مروها تقيمو النسا بزاف فوق الحق حتا ولاو شي نسا يحسبو فرواحتيهم حاجة فور هي غير كوجاكة عريانة داير بيها الذبان يا الذبان,0,2020-10-18T10:15:40Z,p
9,maroua dahmani,http://www.youtube.com/channel/UCiaiwByXma9C3hc0dAXsy_g,والله غير كي طيح في راجل رخيس ومهلوس غير يعريك ويكطعك طراف طراف صدقيني هاد الجنس لي راهي تهظر عليه ميعرفش العريان من المستور ميخافش ربي او مراهوش قع سمع الرحمة في قلبو مكاش جوزي قدامو مسطورا هوا بعيد الشر يشوفك عريانا والعياذ بالله حقيقة رانا نعيشوها علاش ننكروها ربي يجيب ساعة الخير امين يارب العالمين,0,2020-10-19T10:45:28Z,p
10,khedidja allou,http://www.youtube.com/channel/UCTaM-c_tSBnOZNeWBv3rz9Q,نتي ضكا مسمية روحك امراة وانثى ناي راكي بعيدة خلاص على الانوثة ماكيش متربية ماكيش باهية وحدة خامجة تحوسي تبعدي على دين وتجبدي في لبنات باش يولو كيفك حنا دينا دين الاسلام ولازم نسترو روحانا حبيتي ولا كرهتي وكي مراهوش عاجبك الحال كان رحتي عشتي في الخارج تخرج عليك هاد العقلية وزيدي ديري مزية وبدلي دين تاعك باسكو متشرفيناش باش تكوني مسلمة,0,2020-10-18T09:14:55Z,p
11,Zinou Zinouch,http://www.youtube.com/channel/UC7vZlL3h3iqdW1lQPg7DxkQ,حنا حيوانات شوهتي خلق الله الانسان لربي كرمه تقولي عليه حيوان ربي ياخذ فيك الحق نيفو بدون اخلاق,0,2020-10-18T08:45:05Z,p
12,Salim سليم,http://www.youtube.com/channel/UCUSTIbVjtbHM6b2rVq2FE4g,اولا هي تعمل في الاعلام لازم تطلع المستوى ثانيا هي من المفروض جزايرية توصف الجزايريين بهذه الاوصاف خطا لا يغتفر ثالثا في واش عندها الحق في المتحرشين اوكي هي سافرة متبرجة علاش ما تبداش بروحها تستر روحها اولا تحترم الذوق العام نحن شعب مسلم يعني خارجة نصف عريانة تحترم نفسها الاول ثم تنتقد اللي قاعد يشوف فيها,2,2020-10-18T17:15:41Z,p
13,إنسانية حرية,http://www.youtube.com/channel/UC2rdWI-Ox2dXmc6qWWVjLtQ,شفت بلي لي كومونتار تاع النسا ضد مونية بزاف نورمالمو جيو في صفها عندها الحق في اللي قالتو ماكانش مرا تمشي في الطريق بلا ما يتبلاوها بالجلباب لا سيفيليزي كبيرة لا صغيرة الناس ولات مريضة نفسيا مكبوتة اترباو اللي يماك ختك بنتك كامل يتمشاو في الزنقة كيما دير يديرلك الناس بكري كانو النسا سيفيليزي كانو الناس مربيين يجوز كلي ما شافش دوك عينيه يخرجو الريوق يسيلو زيد كلام العار خلي لوكان كل واحد يلها في روحو تتقدم البلاد قاعدين شادين القهاوي اللسان طويل,0,2020-10-18T07:55:07Z,p
14,Mohamed Soualem,http://www.youtube.com/channel/UCRdHXsJlg7VZEqGLnjXwTVg,قحبة,0,2020-10-18T05:12:43Z,p
15,Amina Marame,http://www.youtube.com/channel/UCH2tsO06db7CjhuT7H4_NHQ,انسانة جيعانه مشي مربية تحسباها كاين غير هي فهاد الدنيا واحد مراهو سامع بيك عرت النسا ماشي ماصلا رخستي روحك بروحك,3,2020-10-18T02:07:16Z,p
16,Serine Ghost,http://www.youtube.com/channel/UCxAwQ81RV8jw6OUUHD843yQ,اترحمي على مروان لدارولك طريق واحد ما كان سامع بيك يا نعناعة ماتخليش كلامك كشتاء لتفسد الغلى نصيحة مني اذا كنت زينة استري روحك مالعين اذا كنت شينة استري روحك ملفضايح يتحدث السفيه بما فيه لابسة نورمالمو مراكيش متاكدة بلي لابسة ماشي كامل رجال ذيوبة ماشي كامل نساء نعجات يوسف عليه السلام زوليخة مرت عزيز مصر هي لي راودته عن نفسه ماشي هو افهمي مليح التعميم يضرك يابنت الناس الله يهديك قبل ما يديك,0,2020-10-18T01:40:33Z,p
17,cilia cilia,http://www.youtube.com/channel/UC5DvRPyxNyUWDLBvNHvqobA,اي قلبي هدي طلعوها ديوثيين وديوثات والعرايا كيفها وكان كل وحدة تخرج عريانة وماتحشمش يبصقو عليها بوحد ريووڨ تما يعرفو قيمتهم بلي هما وتوالات خير منهم وانه يحطو ارواحتيهم بلي هدا مجتمع جزايري محافظ وانه هاد بلاد طاح عليها الدم وطاح عليها رجال ونساء على جال الستر والحياء والاسلام ماتقارنش كفار بمسلمين لانه فرق كبير هادوك كفار حلو عينيهم على العرا تجيهم عادي وعندهم معتقد تاعهم عادي مي احنا لا عندنا الاسلام وشرعنا امور نمشو عليها حتى نار وجنة بين ربي طريقهم هدي وامثالها حبو نشر الفساد والعرى ونسا يحكمو في رجال هدي هي ملخر تحيا ولاد بلادنا وتحيا رجال بلاد هدي ماتلحقش رجال بلاد حتى في بول تاعهم لازم يريڨو عليها من وحد بلاصة باه تعرف قيمتها خامجة هدي نسات بلي بلاد طاح عليها دم ورجال بغات تردها بلاد كفار بزعم التحرر والعرى خامجة قتلني بالضحك هديك مونيا غول مش بن فغوول هديك حلووفة خير منها قيمتوها ولاد بلادي اخطوكم من زوبيا خامجة تروح تنقي روحها ماكياج ساترها ولابسها هدي هدفها قاع العرى والنسا تحكم في رجال شوفو حصصها يعطوكم الخبر خامجة هي وامثالها حبو التحرر ونساو ربي لعطاهم في القران كامل الحريات وشرع للمراة وحفظها وكرمها زعما هي بغات تولي سفيرة عدل للمراة جزايرية وتردلهم زعما حريتهم هي عايشة كما حيوان لامبدا لااخلاق لادين لاملة لاحرمة لاوالو وهدي شبعت لحم لحلوف ماعندهاش الغيرة لهي لا لجابوها فايحة,0,2020-10-18T01:36:29Z,p
18,ophtalmo yacine,http://www.youtube.com/channel/UC-LwtrnyStOHo32LknXb31g,الكبت دار فيك حالا يا البايرة,0,2020-10-18T01:12:07Z,p
19,Miloud rachdi,http://www.youtube.com/channel/UCLyqJeLxspk6-GizgL4VmWg,قالت الحقيقة برافو عليها ونتوما زبل متبغوش الحق,0,2020-10-17T22:43:42Z,p
20,Abdelhak Benyahia,http://www.youtube.com/channel/UCJ_IvRV-1CLWuj4GsfMY0YA,هاداك جاد 106 شباب عليك,0,2020-10-17T22:32:15Z,p
21,Omar Abdellah,http://www.youtube.com/channel/UCproE5JSjOX84fnLSpfuwxg,زدت ضيعت 3 دقايق اخرين من حياتي في امر تافه,0,2020-10-17T21:02:36Z,p
22,اولادى حياتى,http://www.youtube.com/channel/UC-G0bA1k2wmMn03eYiibxWA,ياخى رخيسة ماتغرفش تهدر مسمومة مريضة ماتحشمش واش داك تهدرى هاذى الهدرة واش من الفايدة ياخى حالة ياخى,0,2020-10-17T20:42:13Z,p
23,Zine ddine Manallah,http://www.youtube.com/channel/UC7el-n3fIPelw4QCEP30Vng,يخي كرفة ياخي استري روحك منكحلوش عليك,0,2020-10-17T19:50:57Z,p
24,mina mina,http://www.youtube.com/channel/UCFv4LcviH2RB81ixJJ0gSEA,كنت نكرهك وزدت كرهتك نتي واميرة تاعك لي عندها فومي,0,2020-10-17T19:07:03Z,p
25,Zaki Bez,http://www.youtube.com/channel/UCoGg5kO8-5UZkcJg9OxqxNg,اكبر خرية في الجزاير اختفوه,0,2020-10-17T19:02:41Z,p
26,KaDeer Dz31,http://www.youtube.com/channel/UC06RMt5DtObfUazH19GNCzA,زوافية معندنا ما ننتظروا منهم زواف ولاد فرنسا يبغو زب لي ماشي مطهر رشي كي وجوههم,0,2020-10-17T18:55:35Z,p
27,Celia Sedoud,http://www.youtube.com/channel/UC9v96Z7dCqtxxnEY2Z6hSIA,يخي جايحة تعيي كي نتي كي اميرة تاعك وهادوك لي قلتي عليهم حيوانات صحي مفهومك بيسك راكي درتي غلطة حياتك كي هدرتي على ولاد بلادك,0,2020-10-17T18:42:48Z,p
28,Houssem Boud,http://www.youtube.com/channel/UCCzU1kda6XNlx7vxOeQQBxg,يا الزح تلبس شوية لبسة كلش مزير مادابيها واحد ما يشوف فيها كيما قالت خالتي الله يرحمها ما نلومش الرجال كي يشوفو البنات لي يلبسو المزير العريانات علاخاطر حتى حنا نساء نقعدو نشوفو فيهم احترمي دينك نفسك احترمي داركم اسم العايلة تاعك استري روحك الله ثم والله ثم والله اذا شفت فيك بخزرا عيانة الله يعميني دنيا اخرة,0,2020-10-17T17:50:11Z,p
29,mimi mirale,http://www.youtube.com/channel/UCVh-HYaD_jTvZMg0mILA2Zw,نقلك الحقيقة كانت عندي كلبة بيضة شابة عليك,2,2020-10-17T15:27:43Z,p
30,Iman Zemour,http://www.youtube.com/channel/UC0GCdoc0k48JJeGfzectCUg,روحي تخراي على روحك روحي استري روحك ياخي جايحة يخ,0,2020-10-17T14:42:16Z,p
31,Ladaycia Bassem,http://www.youtube.com/channel/UCAXZdHiB5RtV4dUOzW0NI9A,واش حاطة روحها خرية هادي,0,2020-10-17T14:11:09Z,p
32,Kåmel_ 02,http://www.youtube.com/channel/UCvqCveb830m1sOHxcw269cQ,خامجة ومكيش متربية,1,2020-10-17T12:35:55Z,p
33,Mohamed Mohamed,http://www.youtube.com/channel/UC7522F7UK7K-1T2YY6JLZIw,احرقوا هذه الماجوسية المتبرجة فهي عالة وخطر كبير على المجتمع انها معصية تمشي على الاقدام احرقو هذه الافعى قبل ان تبث سمومها في بناتنا الاشراف مكانتك في ذيل ترتيب بنات الجزاير ربما تظن بنفسها اكثر مما تستحق لكن نحن نراك على حقيقتك حثالة مجتمع,0,2020-10-17T11:52:51Z,p
34,ماري عمران,http://www.youtube.com/channel/UCIEwXAb63lvhXBDHOiQxccg,اختي هل اسمك الجهل لانك قلتي الجهل يتكلم انا ماريا اتكلم معك اوضح كلامي غريزةالحيوان تاخذه الى حيوان مثله لكن غريزة الرجل تاخذه الى جنسه اذا وجد فيها مايلفت نظره كالفخدين والصدرالمفتوح و و و اكيد سيبقى الرجل ينظر الى ذالك الحسن المجاني المفضوح ولو سترت المراةمفاتنها عن الرجال كما امرها ربها لكان ذالك اهون عليها وعلى الرجل ولاتكلمني عن اولايك الرجال الذين يتحرشون بالمتحجبات ذالك صنف من الرجال مراض لانهم لايفرقون بين الانثى المستورةاو العارية هداهم الله لكن هذا ليس مبررا لنا امام الله كي لانلبس الحجاب الشرعي,0,2020-10-20T06:09:59Z,p
35,Abdo DB,http://www.youtube.com/channel/UChtMjOKxyJJRGDlcSk9hzHw,خاف الجيعان الا شبع عندكو كيدارا جبهتها ماتكملش تفو مخنزة,4,2020-10-17T05:49:41Z,p
36,kaki Bella,http://www.youtube.com/channel/UCjBw16_jKfvhh825EYtOaFg,اقسم بالله العلي العظيم غير عندك مليون حق مونيا الشعب الجزايري ولى داير كي زبل وزيد فعال الشياطين والشابة كامل حاسبين روحهم صح من اهل الجنة وربي تاعهم وحدهم,17,2020-10-17T05:34:37Z,p
37,Hsen Hasen,http://www.youtube.com/channel/UCC-8IBoYMpFLn7Y0JM-4Dtw,ياو كاين الرجال و موسطاشة كما هادي تهدر على روحها مجمعش لوكان سترو رواحهم منوسلوش لهدي الحالة فالثمانينات مكاش هدا التمسخير حيوان خير منها مهم تهنينا من موسطاشات هادو يا لطيف واش راهي رافدة جزاير راهي ليكم كولوها ه هادي لي تكون مشتاقة راجل دير هكدا,0,2020-10-17T23:09:36Z,p
