,text
272,نستعرف بيك مونيا عندك الحق رهج دايرين كي الرهج الل الاقليه
649,الله غير عندها الحق
282,حاشا ختي كاين ولاد بلادنا
924,مهم ترجع تمثل باسكو شعب كرها مخرج خايف على مسلسلاته في رمضان الا ما تجيبلهش مشاهدة
1178,متعرفش تكدب
1798,نتي كافرا نتي تخلطي في راجل
1481,ما عساها تقول هي مذعورة منحطة المشاعر انها مكروهة المجتمع
1468,من نيتك
948,خرية ناطقة حاشا الناس
113,اتربي
1335,3 33
563,7 79 79 3 3 3 3
1325,فيحا خمجا
609,الهدرة تعها صحيحة بصح طريقة الالقاء غير لايقة بزاف نيفو طايح روحي شوفي عايدة عبابسة هديك مرا نص شوفي طريقة الهدرة تعها هدرت بكل احترام
110,الكحل ديرة حتى الوذنه
204,راني معاها في كل كلمة قالتها او يزيدو يهدرو عالهند لجمل ماشافش عرورتو راهم متطورين علينا في كلش في الفكر والفهم والتخلف ماراهوش فالفقر برك راهو فالراس وطريقة تفكير الناس الغير عقلانية
245,حلابين الله غالب متفهموش
557,عندها الصح كلمة الحق تقال هذي هي العقلية الذكورية الجزايرية ربي يهدي ماخلق ويعطيك صحة تعبيرك صحيح هكا ومانعرف توصل الفكرة ولا نن
657,علا حساب منعرف لواد فيك حلال
1564,الله يرحمها بصح ريم واش قدمت للجزاير قاع نبغوها صحيح لكن انا جامي سمعت بلي كان قلبها الشعب
2423,خرية كيما انت خصك لواحد تجيه لادياري يديرها عليك صدقة عليه
807,والله تعجبني بصح الله غالب شعب مريض
1826,ياو جبهة تاعك مكتوب فيها تاريخ دزاير باكمله
87,قالت الحقيقة او جزء من الحقيقة او حتی لم تصب فهاته وجهة نظرها لماذا كل هاذا التخوين
1500,مستوى منحط امعقدة من الرجال وتحب الاسترجال وتعايار الرجال وكلها مبررات للاسترجال
94,الله يلعن
850,وي ربي يهدينا جميعا ان شاء الله
933,انتي انسانة مكروها
2465,الصح يحرحر يا بوسروال
393,نتيجة كفرة
2271,شوفو وجها كي داير داير كيما مهراس اربك تقول حبه بضنجال شوفو فمها موالفا للمص
716,تحيا من النساء الجزايريات الى كل رجل جزايري كونطرا عليك ربي يهديك
1398,ماشي مربيا
1748,لو بقيا الرجال في الحكم لكنتي في الكوزينة طيبي وتاكلي كالحيوان
2361,علاه انتي ملكة الجمال قوليلي شكون يشوف فيك ربي يشافيك انا نقلك انتي ما جلبتيش الانتباه امالا درتي فيديو تسبي فيه الشرفاء وتسمعين مالا يرضيك من الشعب الجزايري لان الجزايري قع قع بصح الكرامة نتاعو هي راس مالو امالاالقافله تسير والكلاب تنبح هوهوهوهه ربي يجيب الشفا
2406,عجبتني نتاع ريوڨ
1005,دايراا كي نمي كيفاش تهدرر
541,80 9 3 20
301,ربي يهنيك كلامك صحيح
1717,الله يهديك هاذا واش نقولولك كي راكي تهدري على سيادك انت راكي خامجة من الكبار
1687,ماعندك ماتحكي عفناك تفو
479,ويحق الله الحق وفو كره الكافرون
1230,نعرفوك بلي كذابة فلا داعي للفستي
1524,يخي خرية يخي
999,93
351,روح للي يتحرشو بالبنات فالطريق ولمغتصب شيماء وفزدو بطريحة بيسك اذا تضرب مراة تسما ماكانش فرق بينك وبين الرجال الي هدرت عليهم وما تقعدش تحلف بالكذوب علابالي ما تقدرلهاش
1155,موني كاش خدم تخدمي كوسيرج
1754,لا اعرف من الحيوان نحن ام انت
808,شعبنا يحب تنوفيق وحدة كيما هاذي ماتعجبهمش
